date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-09-27,2674.41,2677.74,2661.55,2659.6,200586.38,-17.44,-0.65,2675.158,2672.451,2686.914,258872.87,281262.09,296292.09
2017-09-26,2673.54,2681.23,2678.99,2673.4,192831.77,-1.66,-0.06,2675.374,2675.063,2690.248,269491.48,282401.18,307289.17
2017-09-25,2672.95,2682.75,2680.65,2667.31,319814.19,1.6,0.06,2673.714,2676.418,2693.255,291099.84,293906.32,315278.73
2017-09-22,2666.67,2686.41,2679.05,2662.84,263597.5,3.5,0.13,2672.42,2675.828,2696.045,293406.28,291009.0,329538.57
2017-09-21,2664.05,2690.36,2675.55,2660.53,317534.53,12.92,0.48,2670.286,2676.592,2697.405,309984.74,289120.54,340105.57
2017-09-20,2667.24,2675.21,2662.63,2661.87,253679.41,-8.06,-0.3,2669.744,2678.22,2695.947,303651.31,285003.2,339198.45
2017-09-19,2680.72,2687.18,2670.69,2661.61,300873.59,-3.49,-0.13,2674.752,2683.39,2695.805,295310.87,290773.2,343860.37
2017-09-18,2670.2,2694.06,2674.18,2670.2,331346.38,5.8,0.22,2679.122,2689.306,2694.445,296712.8,291220.63,342375.78
2017-09-15,2669.65,2677.53,2668.38,2659.73,346489.81,-4.46,-0.17,2679.236,2693.023,2691.577,288611.72,291282.28,335526.9
2017-09-14,2688.4,2694.78,2672.84,2666.82,285867.38,-14.83,-0.55,2682.898,2697.197,2688.821,268256.34,299726.59,328151.32
2017-09-13,2690.56,2694.41,2687.67,2676.25,211977.2,-4.87,-0.18,2686.696,2701.376,2685.383,266355.09,311322.09,324143.51
2017-09-12,2682.25,2695.53,2692.54,2672.29,307883.22,17.79,0.67,2692.028,2705.432,2680.75,286235.52,332177.17,323720.55
2017-09-11,2691.34,2708.42,2674.75,2673.62,290841.0,-11.94,-0.44,2699.49,2710.091,2676.385,285728.45,336651.13,322276.88
2017-09-08,2692.8,2701.57,2686.69,2681.44,244712.92,-5.14,-0.19,2706.81,2716.262,2672.22,293952.83,368068.13,320794.28
2017-09-07,2716.13,2717.56,2691.83,2690.88,276361.12,-22.5,-0.83,2711.496,2718.217,2666.398,331196.84,391090.59,326144.11
2017-09-06,2721.95,2725.24,2714.33,2703.65,311379.34,-15.52,-0.57,2716.056,2713.674,2662.374,356289.08,393393.69,326411.8
2017-09-05,2712.76,2738.59,2729.85,2711.17,305347.88,18.5,0.68,2718.836,2708.219,2657.676,378118.82,396947.55,323196.79
2017-09-04,2703.33,2713.73,2711.35,2691.78,331962.88,1.23,0.04,2720.692,2699.584,2652.943,387573.81,393530.94,320820.63
2017-09-01,2716.05,2734.77,2710.12,2700.16,430932.97,-4.51,-0.17,2725.714,2690.131,2649.084,442183.44,379771.53,317265.54
2017-08-31,2729.47,2735.43,2714.63,2701.88,401822.34,-13.6,-0.5,2724.938,2680.445,2644.968,450984.34,356576.06,309698.86
2017-08-30,2740.0,2762.07,2728.23,2720.66,420528.03,-10.9,-0.4,2711.292,2669.39,2641.548,430498.3,336964.93,305515.33
2017-08-29,2734.45,2746.1,2739.13,2726.22,352622.84,2.67,0.1,2697.602,2656.067,2639.168,415776.28,315263.94,305600.12
2017-08-28,2715.47,2766.79,2736.46,2715.47,605011.0,30.22,1.12,2678.476,2642.678,2636.302,399488.07,307902.63,304879.23
2017-08-25,2645.45,2706.7,2706.24,2645.45,474937.5,59.84,2.26,2654.548,2628.177,2631.385,317359.62,273520.43,288952.56
2017-08-24,2659.65,2675.2,2646.4,2641.83,299392.12,-13.38,-0.5,2635.952,2614.579,2627.892,262167.77,261197.64,276172.92
2017-08-23,2641.79,2673.39,2659.78,2639.66,346917.94,16.28,0.62,2627.488,2611.073,2627.404,243431.56,259429.9,276538.38
2017-08-22,2624.41,2644.2,2643.5,2620.16,271181.81,26.68,1.02,2614.532,2607.133,2626.225,214751.59,249446.02,276916.11
2017-08-21,2619.04,2628.8,2616.82,2610.26,194368.72,3.56,0.14,2606.88,2606.301,2626.203,216317.18,248110.31,280449.72
2017-08-18,2601.88,2621.97,2613.26,2595.86,198978.28,9.18,0.35,2601.806,2608.037,2628.081,229681.24,254759.55,287259.57
2017-08-17,2599.04,2606.68,2604.08,2591.54,205711.05,9.08,0.35,2593.206,2609.491,2629.379,260227.5,262821.67,292168.44
2017-08-16,2601.47,2602.1,2595.0,2586.34,203518.11,-10.24,-0.39,2594.658,2613.705,2632.447,275428.25,274065.73,300673.25
2017-08-15,2593.07,2623.08,2605.24,2592.92,279009.75,13.79,0.53,2599.734,2622.268,2635.592,284140.45,295936.3,314841.79
2017-08-14,2572.3,2598.38,2591.45,2567.6,261189.0,21.19,0.82,2605.722,2629.925,2636.545,279903.43,301855.83,320608.83
2017-08-11,2592.04,2599.71,2570.26,2566.57,351709.59,-41.08,-1.57,2614.268,2634.592,2638.543,279837.85,304384.69,337982.35
2017-08-10,2617.99,2635.35,2611.34,2590.86,281714.78,-9.04,-0.34,2625.776,2641.205,2641.179,265415.84,291148.2,337223.51
2017-08-09,2630.67,2634.43,2620.38,2618.81,247079.11,-14.8,-0.56,2632.752,2643.734,2640.66,272703.22,293646.85,344573.56
2017-08-08,2632.04,2639.24,2635.18,2622.26,257824.69,1.0,0.04,2644.802,2645.316,2637.898,307732.16,304386.19,350754.9
2017-08-07,2621.55,2641.34,2634.18,2613.82,260861.09,6.38,0.24,2654.128,2646.105,2634.668,323808.23,312789.14,354847.78
2017-08-04,2644.45,2653.81,2627.8,2627.25,279599.53,-18.42,-0.7,2654.916,2648.125,2630.465,328931.54,319759.59,354457.3
